"GEO_ID","NAME","P001001",
"Geography","Geographic Area Name","Total",
"8600000US01436","ZCTA5 01436","3336",
"8600000US01438","ZCTA5 01438","559",
"8600000US01440","ZCTA5 01440","20347",
"8600000US01450","ZCTA5 01450","10646",
"8600000US01451","ZCTA5 01451","4747",
"8600000US01452","ZCTA5 01452","4382",
"8600000US01453","ZCTA5 01453","40883",
"8600000US01460","ZCTA5 01460","8924",
"8600000US01462","ZCTA5 01462","10086",
"8600000US01463","ZCTA5 01463","11497",
"8600000US01464","ZCTA5 01464","7211",
"8600000US01467","ZCTA5 01467","316",
"8600000US01468","ZCTA5 01468","4021",
"8600000US01469","ZCTA5 01469","6801",
"8600000US01473","ZCTA5 01473","7277",
"8600000US01474","ZCTA5 01474","2125",
"8600000US01475","ZCTA5 01475","10270",
"8600000US01501","ZCTA5 01501","16075",
"8600000US01503","ZCTA5 01503","2866",
"8600000US01504","ZCTA5 01504","9026",
"8600000US01505","ZCTA5 01505","4355",
"8600000US01506","ZCTA5 01506","3390",
"8600000US01507","ZCTA5 01507","12981",
"8600000US01510","ZCTA5 01510","13606",
"8600000US01515","ZCTA5 01515","2183",
"8600000US01516","ZCTA5 01516","8500",
"8600000US01518","ZCTA5 01518","2974",
"8600000US01519","ZCTA5 01519","6595",
"8600000US01520","ZCTA5 01520","13997",
"8600000US01521","ZCTA5 01521","2481",
"8600000US01522","ZCTA5 01522","3310",
"8600000US01523","ZCTA5 01523","7582",
"8600000US01524","ZCTA5 01524","6696",
"8600000US01525","ZCTA5 01525","290",
"8600000US01527","ZCTA5 01527","13246",
"8600000US01529","ZCTA5 01529","3190",
"8600000US01531","ZCTA5 01531","999",
"8600000US01532","ZCTA5 01532","14155",
"8600000US01534","ZCTA5 01534","5631",
"8600000US01535","ZCTA5 01535","4680",
"8600000US01536","ZCTA5 01536","6888",
"8600000US01537","ZCTA5 01537","2248",
"8600000US01540","ZCTA5 01540","11291",
"8600000US01541","ZCTA5 01541","3413",
"8600000US01542","ZCTA5 01542","2202",
"8600000US01543","ZCTA5 01543","7973",
"8600000US01545","ZCTA5 01545","35299",
"8600000US01550","ZCTA5 01550","16719",
"8600000US01560","ZCTA5 01560","4527",
"8600000US01561","ZCTA5 01561","330",
"8600000US01562","ZCTA5 01562","11688",
"8600000US01564","ZCTA5 01564","7808",
"8600000US01566","ZCTA5 01566","6294",
"8600000US01568","ZCTA5 01568","7480",
"8600000US01569","ZCTA5 01569","13569",
"8600000US01570","ZCTA5 01570","16767",
"8600000US01571","ZCTA5 01571","11390",
"8600000US01581","ZCTA5 01581","18272",
"8600000US01583","ZCTA5 01583","7591",
"8600000US01585","ZCTA5 01585","4554",
"8600000US01588","ZCTA5 01588","9733",
"8600000US01590","ZCTA5 01590","8875",
"8600000US01602","ZCTA5 01602","22819",
"8600000US01603","ZCTA5 01603","19916",
"8600000US01604","ZCTA5 01604","34677",
"8600000US01605","ZCTA5 01605","26221",
"8600000US01606","ZCTA5 01606","19077",
"8600000US01607","ZCTA5 01607","8351",
"8600000US01608","ZCTA5 01608","3888",
"8600000US01609","ZCTA5 01609","22421",
"8600000US01610","ZCTA5 01610","23945",
"8600000US01611","ZCTA5 01611","2242",
"8600000US01612","ZCTA5 01612","4845",
"8600000US01701","ZCTA5 01701","31217",
"8600000US01702","ZCTA5 01702","37206",
"8600000US01718","ZCTA5 01718","469",
"8600000US01719","ZCTA5 01719","4996",
"8600000US01720","ZCTA5 01720","21361",
"8600000US01721","ZCTA5 01721","16593",
"8600000US01730","ZCTA5 01730","13221",
"8600000US01731","ZCTA5 01731","1396",
"8600000US01740","ZCTA5 01740","4897",
"8600000US01741","ZCTA5 01741","4852",
"8600000US01742","ZCTA5 01742","17726",
"8600000US01745","ZCTA5 01745","397",
"8600000US01746","ZCTA5 01746","13547",
"8600000US01747","ZCTA5 01747","5911",
"8600000US01748","ZCTA5 01748","14925",
"8600000US01749","ZCTA5 01749","19063",
"8600000US01752","ZCTA5 01752","38499",
"8600000US01754","ZCTA5 01754","10106",
"8600000US01756","ZCTA5 01756","5839",
"8600000US01757","ZCTA5 01757","28061",
"8600000US01760","ZCTA5 01760","32786",
"8600000US01770","ZCTA5 01770","4119",
"8600000US01772","ZCTA5 01772","9370",
"8600000US01773","ZCTA5 01773","5112",
"8600000US01775","ZCTA5 01775","6590",
"8600000US01776","ZCTA5 01776","17659",
"8600000US01778","ZCTA5 01778","13109",
"8600000US01801","ZCTA5 01801","38903",
"8600000US01803","ZCTA5 01803","24487",
"8600000US01810","ZCTA5 01810","33201",
"8600000US01821","ZCTA5 01821","30310",
"8600000US01824","ZCTA5 01824","24911",
"8600000US01826","ZCTA5 01826","29422",
"8600000US01827","ZCTA5 01827","3179",
"8600000US01830","ZCTA5 01830","25137",
"8600000US01832","ZCTA5 01832","22060",
"8600000US01833","ZCTA5 01833","8183",
"8600000US01834","ZCTA5 01834","6459",
"8600000US01835","ZCTA5 01835","13682",
"8600000US01840","ZCTA5 01840","4733",
"8600000US01841","ZCTA5 01841","47225",
"8600000US01843","ZCTA5 01843","24425",
"8600000US01844","ZCTA5 01844","47249",
"8600000US01845","ZCTA5 01845","28352",
"8600000US01850","ZCTA5 01850","15237",
"8600000US01851","ZCTA5 01851","30190",
"8600000US01852","ZCTA5 01852","33508",
"8600000US01854","ZCTA5 01854","27606",
"8600000US01860","ZCTA5 01860","6338",
"8600000US01862","ZCTA5 01862","10227",
"8600000US01863","ZCTA5 01863","8891",
"8600000US01864","ZCTA5 01864","14892",
"8600000US01867","ZCTA5 01867","23956",
"8600000US01876","ZCTA5 01876","28667",
"8600000US01879","ZCTA5 01879","11305",
"8600000US01880","ZCTA5 01880","24733",
"8600000US01886","ZCTA5 01886","21951",
"8600000US01887","ZCTA5 01887","22325",
"8600000US01890","ZCTA5 01890","21382",
"8600000US01901","ZCTA5 01901","1689",
"8600000US01902","ZCTA5 01902","45139",
"8600000US01904","ZCTA5 01904","18203",
"8600000US01905","ZCTA5 01905","25251",
"8600000US01906","ZCTA5 01906","26660",
"8600000US01907","ZCTA5 01907","14027",
"8600000US01908","ZCTA5 01908","3410",
"8600000US01913","ZCTA5 01913","16283",
"8600000US01915","ZCTA5 01915","39502",
"8600000US01921","ZCTA5 01921","7961",
"8600000US01922","ZCTA5 01922","3108",
"8600000US01923","ZCTA5 01923","26342",
"8600000US01929","ZCTA5 01929","3504",
"8600000US01930","ZCTA5 01930","28789",
"8600000US01937","ZCTA5 01937","151",
"8600000US01938","ZCTA5 01938","13175",
"8600000US01940","ZCTA5 01940","12108",
"8600000US01944","ZCTA5 01944","5136",
"8600000US01945","ZCTA5 01945","19808",
"8600000US01949","ZCTA5 01949","8987",
"8600000US01950","ZCTA5 01950","17416",
"8600000US01951","ZCTA5 01951","3558",
"8600000US01952","ZCTA5 01952","8283",
"8600000US01960","ZCTA5 01960","50944",
"8600000US01966","ZCTA5 01966","6952",
