city,state,latitude,longitude,YearMonth,Monthly_Avg_Temp
Los Angeles,California,34.0522342,-118.2436849,2020-12-01,57.57419354838709
Los Angeles,California,34.0522342,-118.2436849,2021-01-01,55.92580645161291
Los Angeles,California,34.0522342,-118.2436849,2021-02-01,57.417857142857144
Los Angeles,California,34.0522342,-118.2436849,2021-03-01,56.88709677419355
Los Angeles,California,34.0522342,-118.2436849,2021-04-01,63.00333333333333
Los Angeles,California,34.0522342,-118.2436849,2021-05-01,64.69354838709677
Los Angeles,California,34.0522342,-118.2436849,2021-06-01,69.78666666666666
Los Angeles,California,34.0522342,-118.2436849,2021-07-01,73.79354838709678
Los Angeles,California,34.0522342,-118.2436849,2021-08-01,73.63548387096773
Los Angeles,California,34.0522342,-118.2436849,2021-09-01,71.22666666666667
Los Angeles,California,34.0522342,-118.2436849,2021-10-01,65.76129032258065
Los Angeles,California,34.0522342,-118.2436849,2021-11-01,63.52333333333333
Los Angeles,California,34.0522342,-118.2436849,2021-12-01,53.03225806451613
Los Angeles,California,34.0522342,-118.2436849,2022-01-01,54.91935483870968
Los Angeles,California,34.0522342,-118.2436849,2022-02-01,57.42857142857143
Los Angeles,California,34.0522342,-118.2436849,2022-03-01,61.10322580645161
Los Angeles,California,34.0522342,-118.2436849,2022-04-01,63.9
Los Angeles,California,34.0522342,-118.2436849,2022-05-01,65.01935483870967
Los Angeles,California,34.0522342,-118.2436849,2022-06-01,71.07
Los Angeles,California,34.0522342,-118.2436849,2022-07-01,72.08064516129032
Los Angeles,California,34.0522342,-118.2436849,2022-08-01,75.64193548387097
Los Angeles,California,34.0522342,-118.2436849,2022-09-01,77.39333333333335
Los Angeles,California,34.0522342,-118.2436849,2022-10-01,68.25483870967743
Los Angeles,California,34.0522342,-118.2436849,2022-11-01,57.486666666666665
Los Angeles,California,34.0522342,-118.2436849,2022-12-01,54.061290322580646
Los Angeles,California,34.0522342,-118.2436849,2023-01-01,51.78709677419355
Los Angeles,California,34.0522342,-118.2436849,2023-02-01,51.975
Los Angeles,California,34.0522342,-118.2436849,2023-03-01,53.119354838709675
Los Angeles,California,34.0522342,-118.2436849,2023-04-01,59.059999999999995
Los Angeles,California,34.0522342,-118.2436849,2023-05-01,61.70645161290323
Los Angeles,California,34.0522342,-118.2436849,2023-06-01,65.13000000000001
Los Angeles,California,34.0522342,-118.2436849,2023-07-01,73.26774193548388
Los Angeles,California,34.0522342,-118.2436849,2023-08-01,73.4
Los Angeles,California,34.0522342,-118.2436849,2023-09-01,70.41000000000001
Los Angeles,California,34.0522342,-118.2436849,2023-10-01,68.7290322580645
Los Angeles,California,34.0522342,-118.2436849,2023-11-01,61.973333333333336
Los Angeles,California,34.0522342,-118.2436849,2023-12-01,58.60645161290322
Los Angeles,California,34.0522342,-118.2436849,2024-01-01,54.10322580645161
Los Angeles,California,34.0522342,-118.2436849,2024-02-01,54.172413793103445
Los Angeles,California,34.0522342,-118.2436849,2024-03-01,56.099999999999994
Los Angeles,California,34.0522342,-118.2436849,2024-04-01,59.45333333333333
Los Angeles,California,34.0522342,-118.2436849,2024-05-01,62.064516129032256
Los Angeles,California,34.0522342,-118.2436849,2024-06-01,68.70666666666666
Los Angeles,California,34.0522342,-118.2436849,2024-07-01,73.41290322580646
Los Angeles,California,34.0522342,-118.2436849,2024-08-01,74.25161290322582
Los Angeles,California,34.0522342,-118.2436849,2024-09-01,73.03666666666666
Los Angeles,California,34.0522342,-118.2436849,2024-10-01,68.05483870967741
Los Angeles,California,34.0522342,-118.2436849,2024-11-01,59.593333333333334
Los Angeles,California,34.0522342,-118.2436849,2024-12-01,56.60967741935484
Los Angeles,California,34.0522342,-118.2436849,2025-01-01,54.619354838709675
Los Angeles,California,34.0522342,-118.2436849,2025-02-01,56.83571428571429
