ZIP,SCHOOL_YEAR,school_count,abs_change,pct_growth
01720,1718,8.0,0.0,0.0
01721,1718,5.0,0.0,0.0
01730,1718,4.0,0.0,0.0
01731,1718,2.0,0.0,0.0
01740,1718,2.0,0.0,0.0
01741,1718,1.0,0.0,0.0
01742,1718,5.0,0.0,0.0
01746,1718,4.0,0.0,0.0
01747,1718,3.0,0.0,0.0
01748,1718,6.0,0.0,0.0
01749,1718,5.0,0.0,0.0
01752,1718,8.0,0.0,0.0
01754,1718,3.0,0.0,0.0
01756,1718,2.0,0.0,0.0
01757,1718,6.0,0.0,0.0
01760,1718,8.0,0.0,0.0
01770,1718,1.0,0.0,0.0
01772,1718,4.0,0.0,0.0
01773,1718,1.0,0.0,0.0
01775,1718,2.0,0.0,0.0
01776,1718,6.0,0.0,0.0
01778,1718,5.0,0.0,0.0
01801,1718,11.0,0.0,0.0
01803,1718,6.0,0.0,0.0
01810,1718,11.0,0.0,0.0
01821,1718,8.0,0.0,0.0
01824,1718,6.0,0.0,0.0
01826,1718,6.0,0.0,0.0
01827,1718,1.0,0.0,0.0
01830,1718,9.0,0.0,0.0
01832,1718,6.0,0.0,0.0
01833,1718,4.0,0.0,0.0
01834,1718,1.0,0.0,0.0
01835,1718,5.0,0.0,0.0
01840,1718,4.0,0.0,0.0
01841,1718,20.0,0.0,0.0
01843,1718,6.0,0.0,0.0
01844,1718,6.0,0.0,0.0
01845,1718,7.0,0.0,0.0
01850,1718,2.0,0.0,0.0
01851,1718,8.0,0.0,0.0
01852,1718,11.0,0.0,0.0
01854,1718,7.0,0.0,0.0
01860,1718,2.0,0.0,0.0
01862,1718,2.0,0.0,0.0
01863,1718,2.0,0.0,0.0
01864,1718,5.0,0.0,0.0
01867,1718,9.0,0.0,0.0
01876,1718,7.0,0.0,0.0
01879,1718,5.0,0.0,0.0
01880,1718,8.0,0.0,0.0
01886,1718,11.0,0.0,0.0
01887,1718,8.0,0.0,0.0
01890,1718,7.0,0.0,0.0
01901,1718,0.0,0.0,0.0
01902,1718,13.0,0.0,0.0
01904,1718,4.0,0.0,0.0
01905,1718,10.0,0.0,0.0
01906,1718,7.0,0.0,0.0
01907,1718,5.0,0.0,0.0
01908,1718,1.0,0.0,0.0
01913,1718,5.0,0.0,0.0
01915,1718,8.0,0.0,0.0
01921,1718,4.0,0.0,0.0
01922,1718,2.0,0.0,0.0
01923,1718,7.0,0.0,0.0
01929,1718,1.0,0.0,0.0
01930,1718,8.0,0.0,0.0
01937,1718,1.0,0.0,0.0
01938,1718,4.0,0.0,0.0
01940,1718,5.0,0.0,0.0
01944,1718,3.0,0.0,0.0
01945,1718,8.0,0.0,0.0
01949,1718,2.0,0.0,0.0
01950,1718,5.0,0.0,0.0
01951,1718,1.0,0.0,0.0
01952,1718,1.0,0.0,0.0
01960,1718,11.0,0.0,0.0
01966,1718,3.0,0.0,0.0
01969,1718,1.0,0.0,0.0
01970,1718,13.0,0.0,0.0
01982,1718,4.0,0.0,0.0
01983,1718,2.0,0.0,0.0
01984,1718,1.0,0.0,0.0
01985,1718,3.0,0.0,0.0
02019,1718,6.0,0.0,0.0
02021,1718,8.0,0.0,0.0
02025,1718,3.0,0.0,0.0
02026,1718,7.0,0.0,0.0
02030,1718,3.0,0.0,0.0
02032,1718,3.0,0.0,0.0
02035,1718,6.0,0.0,0.0
02038,1718,13.0,0.0,0.0
02043,1718,6.0,0.0,0.0
02045,1718,3.0,0.0,0.0
02048,1718,5.0,0.0,0.0
02050,1718,7.0,0.0,0.0
02052,1718,5.0,0.0,0.0
02053,1718,4.0,0.0,0.0
02054,1718,3.0,0.0,0.0
02056,1718,3.0,0.0,0.0
02061,1718,5.0,0.0,0.0
02062,1718,8.0,0.0,0.0
02066,1718,6.0,0.0,0.0
02067,1718,6.0,0.0,0.0
02072,1718,8.0,0.0,0.0
02081,1718,7.0,0.0,0.0
02090,1718,8.0,0.0,0.0
02093,1718,3.0,0.0,0.0
02111,1718,1.0,0.0,0.0
02113,1718,1.0,0.0,0.0
02115,1718,2.0,0.0,0.0
02116,1718,4.0,0.0,0.0
02118,1718,3.0,0.0,0.0
02119,1718,15.0,0.0,0.0
02120,1718,5.0,0.0,0.0
02121,1718,8.0,0.0,0.0
02122,1718,7.0,0.0,0.0
02124,1718,10.0,0.0,0.0
02125,1718,8.0,0.0,0.0
02126,1718,8.0,0.0,0.0
02127,1718,6.0,0.0,0.0
02128,1718,12.0,0.0,0.0
02129,1718,4.0,0.0,0.0
02130,1718,11.0,0.0,0.0
02131,1718,9.0,0.0,0.0
02132,1718,6.0,0.0,0.0
02134,1718,3.0,0.0,0.0
02135,1718,7.0,0.0,0.0
02136,1718,9.0,0.0,0.0
02138,1718,5.0,0.0,0.0
02139,1718,9.0,0.0,0.0
02140,1718,3.0,0.0,0.0
02141,1718,2.0,0.0,0.0
02142,1718,1.0,0.0,0.0
02143,1718,3.0,0.0,0.0
02144,1718,3.0,0.0,0.0
02145,1718,5.0,0.0,0.0
02148,1718,8.0,0.0,0.0
02149,1718,10.0,0.0,0.0
02150,1718,10.0,0.0,0.0
02151,1718,11.0,0.0,0.0
02152,1718,4.0,0.0,0.0
02155,1718,9.0,0.0,0.0
02169,1718,11.0,0.0,0.0
02170,1718,3.0,0.0,0.0
02171,1718,5.0,0.0,0.0
02174,1718,2.0,0.0,0.0
02176,1718,8.0,0.0,0.0
02180,1718,5.0,0.0,0.0
02184,1718,10.0,0.0,0.0
02186,1718,6.0,0.0,0.0
02188,1718,2.0,0.0,0.0
02189,1718,4.0,0.0,0.0
02190,1718,4.0,0.0,0.0
02191,1718,2.0,0.0,0.0
02215,1718,2.0,0.0,0.0
02301,1718,17.0,0.0,0.0
02302,1718,8.0,0.0,0.0
02322,1718,2.0,0.0,0.0
02324,1718,5.0,0.0,0.0
02330,1718,2.0,0.0,0.0
02332,1718,4.0,0.0,0.0
02333,1718,3.0,0.0,0.0
02338,1718,1.0,0.0,0.0
02339,1718,6.0,0.0,0.0
02341,1718,3.0,0.0,0.0
02343,1718,3.0,0.0,0.0
02346,1718,5.0,0.0,0.0
02347,1718,4.0,0.0,0.0
02351,1718,5.0,0.0,0.0
02356,1718,5.0,0.0,0.0
02359,1718,5.0,0.0,0.0
02360,1718,14.0,0.0,0.0
